"","Basin_name","Direction","Dewater","Existing_Proposed_total","Existing_total","LargeDams","SHPs","SHPs_new"
"1","Aghanashini","West",100,42.3563780344101,100,100,100,42.3563780344101
"2","Badagani","West",100,100,100,100,100,100
"3","Bhima","East",50.7826429039814,12.9382177649368,28.3512306242704,59.4092732714746,50.785299563208,24.7056974802158
"4","Byndoor","West",100,100,100,100,100,100
"5","Chakra","West",100,45.9944911574366,69.0668530101044,69.0668530101044,100,51.6683027123765
"6","ChandragiriPuzha","West",100,33.7728082878028,100,100,100,33.7728082878028
"7","Gangavali","West",100,26.8766128970047,86.4127352235863,86.4127352235863,100,34.1383636813688
"8","Gundabala","West",100,57.8848129071499,100,100,100,57.8848129071499
"9","Gurupura","West",51.6436281878862,23.6592839583987,51.6436281878862,100,51.6647338464214,29.1650929569593
"10","Haladi","West",44.6231072999536,17.8275902102407,44.4333327987052,63.7041643363596,44.9066032476563,26.174382990763
"11","Hattikeri","West",100,100,100,100,100,100
"12","Kali","West",100,16.3356859891534,19.249005508649,19.249005508649,100,54.4723607086514
"13","Kaveri","East",8.54989559046719,3.84981528962235,5.58409752743329,54.2691518157861,8.89326611865568,11.463892943309
"14","Kolluru","West",100,37.7408148947041,100,100,100,37.7408148947041
"15","Krishna","East",65.9161157423439,10.6089592101474,29.9867268339476,39.4317350484628,65.9971308085616,15.2296238993876
"16","Nandini","West",100,100,100,100,100,100
"17","Nethravathi","West",25.354777464038,4.56727584040026,25.354777464038,100,25.5607409575547,6.6076899274576
"18","NorthPennar","East",100,100,100,100,100,100
"19","Paapanashini","West",100,100,100,100,100,100
"20","Palar","East",100,100,100,100,100,100
"21","Pangala","West",100,100,100,100,100,100
"22","Sankadagundi","West",100,53.1013045507275,100,100,100,53.1013045507275
"23","Shambhavi","West",100,63.6607917628398,100,100,100,63.6607917628398
"24","Sharavathi","West",NA,62.3730621940988,62.6056934334716,62.6056934334716,66.6282845596614,67.4196137017652
"25","Shiroor","West",100,100,100,100,100,100
"26","Shriya","West",100,100,100,100,100,100
"27","Sita","West",100,45.5722227429845,100,100,100,45.5722227429845
"28","SouthPennar","East",100,90.3747109850116,100,100,100,90.3747109850116
"29","Suvarna","West",34.6310470618067,15.8665025521429,34.6310470618067,100,34.7433023834629,17.0316407065695
"30","Tunga","East",34.4379327080413,13.8203835911349,13.8203835911349,44.8492190539997,34.4453279822742,100
"31","Uppala","West",100,100,100,100,100,100
"32","Venkatapura","West",100,79.9896958799593,100,100,100,79.9896958799593
"33","Yadamavu","West",100,100,100,100,100,100
